EFD3 幀
EFD4 庭
EFD5 廷
EFD6 征
EFD7 情
EFD8 挺
EFD9 政
EFDA 整
EFDB 旌
EFDC 晶
EFDD 晸
EFDE 柾
EFDF 楨
EFE0 檉
EFE1 正
EFE2 汀
EFE3 淀
EFE4 淨
EFE5 渟
EFE6 湞
EFE7 瀞
EFE8 炡
EFE9 玎
EFEA 珽
EFEB 町
EFEC 睛
EFED 碇
EFEE 禎
EFEF 程
EFF0 穽
EFF1 精
EFF2 綎
EFF3 艇
EFF4 訂
EFF5 諪
EFF6 貞
EFF7 鄭
EFF8 酊
EFF9 釘
EFFA 鉦
EFFB 鋌
EFFC 錠
EFFD 霆
EFFE 靖
F0A1 靜
F0A2 頂
F0A3 鼎
F0A4 制
F0A5 劑
F0A6 啼
F0A7 堤
F0A8 帝
F0A9 弟
F0AA 悌
F0AB 提
F0AC 梯
F0AD 濟
F0AE 祭
F0AF 第
F0B0 臍
F0B1 薺
F0B2 製
F0B3 諸
F0B4 蹄
F0B5 醍
F0B6 除
F0B7 際
F0B8 霽
F0B9 題
F0BA 齊
F0BB 俎
F0BC 兆
F0BD 凋
F0BE 助
F0BF 嘲
F0C0 弔
F0C1 彫
F0C2 措
F0C3 操
F0C4 早
F0C5 晁
F0C6 曺
F0C7 曹
F0C8 朝
F0C9 條
F0CA 棗
F0CB 槽
F0CC 漕
F0CD 潮
F0CE 照
F0CF 燥
F0D0 爪
F0D1 璪
F0D2 眺
F0D3 祖
F0D4 祚
F0D5 租
F0D6 稠
F0D7 窕
F0D8 粗
F0D9 糟
F0DA 組
F0DB 繰
F0DC 肇
F0DD 藻
F0DE 蚤
F0DF 詔
F0E0 調
F0E1 趙
F0E2 躁
F0E3 造
F0E4 遭
F0E5 釣
F0E6 阻
F0E7 雕
F0E8 鳥
F0E9 族
F0EA 簇
F0EB 足
F0EC 鏃
F0ED 存
F0EE 尊
F0EF 卒
F0F0 拙
F0F1 猝
F0F2 倧
F0F3 宗
F0F4 從
F0F5 悰
F0F6 慫
F0F7 棕
F0F8 淙
F0F9 琮
F0FA 種
F0FB 終
F0FC 綜
F0FD 縱
F0FE 腫
F1A1 踪
F1A2 踵
F1A3 鍾
F1A4 鐘
F1A5 佐
F1A6 坐
F1A7 左
F1A8 座
F1A9 挫
F1AA 罪
F1AB 主
F1AC 住
F1AD 侏
F1AE 做
F1AF 姝
F1B0 胄
F1B1 呪
F1B2 周
F1B3 嗾
F1B4 奏
F1B5 宙
F1B6 州
F1B7 廚
F1B8 晝
F1B9 朱
F1BA 柱
F1BB 株
F1BC 注
F1BD 洲
F1BE 湊
F1BF 澍
F1C0 炷
F1C1 珠
F1C2 疇
F1C3 籌
F1C4 紂
F1C5 紬
F1C6 綢
F1C7 舟
F1C8 蛛
F1C9 註
F1CA 誅
F1CB 走
F1CC 躊
F1CD 輳
F1CE 週
F1CF 酎
F1D0 酒
F1D1 鑄
F1D2 駐
F1D3 竹
F1D4 粥
F1D5 俊
F1D6 儁
F1D7 准
F1D8 埈
F1D9 寯
F1DA 峻
F1DB 晙
F1DC 樽
F1DD 浚
F1DE 準
F1DF 濬
F1E0 焌
F1E1 畯
F1E2 竣
F1E3 蠢
F1E4 逡
F1E5 遵
F1E6 雋
F1E7 駿
F1E8 茁
F1E9 中
F1EA 仲
F1EB 衆
F1EC 重
F1ED 卽
F1EE 櫛
F1EF 楫
F1F0 汁
F1F1 葺
F1F2 增
F1F3 憎
F1F4 曾
F1F5 拯
F1F6 烝
F1F7 甑
F1F8 症
F1F9 繒
F1FA 蒸
F1FB 證
F1FC 贈
F1FD 之
F1FE 只
F2A1 咫
F2A2 地
F2A3 址
F2A4 志
F2A5 持
F2A6 指
F2A7 摯
F2A8 支
F2A9 旨
F2AA 智
F2AB 枝
F2AC 枳
F2AD 止
F2AE 池
F2AF 沚
F2B0 漬
F2B1 知
F2B2 砥
F2B3 祉
F2B4 祗
F2B5 紙
F2B6 肢
F2B7 脂
F2B8 至
F2B9 芝
F2BA 芷
F2BB 蜘
F2BC 誌
F2BD 識
F2BE 贄
F2BF 趾
F2C0 遲
F2C1 直
F2C2 稙
F2C3 稷
F2C4 織
F2C5 職
F2C6 唇
F2C7 嗔
F2C8 塵
F2C9 振
F2CA 搢
F2CB 晉
F2CC 晋
F2CD 桭
F2CE 榛
F2CF 殄
F2D0 津
F2D1 溱
F2D2 珍
F2D3 瑨
F2D4 璡
F2D5 畛
F2D6 疹
F2D7 盡
F2D8 眞
F2D9 瞋
F2DA 秦
F2DB 縉
F2DC 縝
F2DD 臻
F2DE 蔯
F2DF 袗
F2E0 診
F2E1 賑
F2E2 軫
F2E3 辰
F2E4 進
F2E5 鎭
F2E6 陣
F2E7 陳
F2E8 震
F2E9 侄
F2EA 叱
F2EB 姪
F2EC 嫉
F2ED 帙
F2EE 桎
F2EF 瓆
F2F0 疾
F2F1 秩
F2F2 窒
F2F3 膣
F2F4 蛭
F2F5 質
F2F6 跌
F2F7 迭
F2F8 斟
F2F9 朕
F2FA 什
F2FB 執
F2FC 潗
F2FD 緝
F2FE 輯
F3A1 鏶
F3A2 集
F3A3 徵
F3A4 懲
F3A5 澄
F3A6 且
F3A7 侘
F3A8 借
F3A9 叉
F3AA 嗟
F3AB 嵯
F3AC 差
F3AD 次
F3AE 此
F3AF 磋
F3B0 箚
F3B1 茶
F3B2 蹉
F3B3 車
F3B4 遮
F3B5 捉
F3B6 搾
F3B7 着
F3B8 窄
F3B9 錯
F3BA 鑿
F3BB 齪
F3BC 撰
F3BD 澯
F3BE 燦
F3BF 璨
F3C0 瓚
F3C1 竄
F3C2 簒
F3C3 纂
F3C4 粲
F3C5 纘
F3C6 讚
F3C7 贊
F3C8 鑽
F3C9 餐
F3CA 饌
F3CB 刹
F3CC 察
F3CD 擦
F3CE 札
F3CF 紮
F3D0 僭
F3D1 參
F3D2 塹
F3D3 慘
F3D4 慙
F3D5 懺
F3D6 斬
F3D7 站
F3D8 讒
F3D9 讖
F3DA 倉
F3DB 倡
F3DC 創
F3DD 唱
F3DE 娼
F3DF 廠
F3E0 彰
F3E1 愴
F3E2 敞
F3E3 昌
F3E4 昶
F3E5 暢
F3E6 槍
F3E7 滄
F3E8 漲
F3E9 猖
F3EA 瘡
F3EB 窓
F3EC 脹
F3ED 艙
F3EE 菖
F3EF 蒼
F3F0 債
F3F1 埰
F3F2 寀
F3F3 寨
F3F4 彩
F3F5 採
F3F6 砦
F3F7 綵
F3F8 菜
F3F9 蔡
F3FA 采
F3FB 釵
F3FC 冊
F3FD 柵
F3FE 策
F4A1 責
F4A2 凄
F4A3 妻
F4A4 悽
F4A5 處
F4A6 倜
F4A7 刺
F4A8 剔
F4A9 尺
F4AA 慽
F4AB 戚
F4AC 拓
F4AD 擲
F4AE 斥
F4AF 滌
F4B0 瘠
F4B1 脊
F4B2 蹠
F4B3 陟
F4B4 隻
F4B5 仟
F4B6 千
F4B7 喘
F4B8 天
F4B9 川
F4BA 擅
F4BB 泉
F4BC 淺
F4BD 玔
F4BE 穿
F4BF 舛
F4C0 薦
F4C1 賤
F4C2 踐
F4C3 遷
F4C4 釧
F4C5 闡
F4C6 阡
F4C7 韆
F4C8 凸
F4C9 哲
F4CA 喆
F4CB 徹
F4CC 撤
F4CD 澈
F4CE 綴
F4CF 輟
F4D0 轍
F4D1 鐵
F4D2 僉
F4D3 尖
F4D4 沾
F4D5 添
F4D6 甛
F4D7 瞻
F4D8 簽
F4D9 籤
F4DA 詹
F4DB 諂
F4DC 堞
F4DD 妾
F4DE 帖
F4DF 捷
F4E0 牒
F4E1 疊
F4E2 睫
F4E3 諜
F4E4 貼
F4E5 輒
F4E6 廳
F4E7 晴
F4E8 淸
F4E9 聽
F4EA 菁
F4EB 請
F4EC 靑
F4ED 鯖
F4EE 切
F4EF 剃
F4F0 替
F4F1 涕
F4F2 滯
F4F3 締
F4F4 諦
F4F5 逮
F4F6 遞
F4F7 體
F4F8 初
F4F9 剿
F4FA 哨
F4FB 憔
F4FC 抄
F4FD 招
F4FE 梢
F5A1 椒
F5A2 楚
F5A3 樵
F5A4 炒
F5A5 焦
F5A6 硝
F5A7 礁
F5A8 礎
F5A9 秒
F5AA 稍
F5AB 肖
F5AC 艸
F5AD 苕
F5AE 草
F5AF 蕉
F5B0 貂
F5B1 超
F5B2 酢
F5B3 醋
F5B4 醮
F5B5 促
F5B6 囑
F5B7 燭
F5B8 矗
F5B9 蜀
F5BA 觸
F5BB 寸
F5BC 忖
F5BD 村
F5BE 邨
F5BF 叢
F5C0 塚
F5C1 寵
F5C2 悤
F5C3 憁
F5C4 摠
F5C5 總
F5C6 聰
F5C7 蔥
F5C8 銃
F5C9 撮
F5CA 催
F5CB 崔
F5CC 最
F5CD 墜
F5CE 抽
F5CF 推
F5D0 椎
F5D1 楸
F5D2 樞
F5D3 湫
F5D4 皺
F5D5 秋
F5D6 芻
F5D7 萩
F5D8 諏
F5D9 趨
F5DA 追
F5DB 鄒
F5DC 酋
F5DD 醜
F5DE 錐
F5DF 錘
F5E0 鎚
F5E1 雛
F5E2 騶
F5E3 鰍
F5E4 丑
F5E5 畜
F5E6 祝
F5E7 竺
F5E8 筑
F5E9 築
F5EA 縮
F5EB 蓄
F5EC 蹙
F5ED 蹴
F5EE 軸
F5EF 逐
F5F0 春
F5F1 椿
F5F2 瑃
F5F3 出
F5F4 朮
F5F5 黜
F5F6 充
F5F7 忠
F5F8 沖
F5F9 蟲
F5FA 衝
F5FB 衷
F5FC 悴
F5FD 膵
F5FE 萃
F6A1 贅
F6A2 取
F6A3 吹
F6A4 嘴
F6A5 娶
F6A6 就
F6A7 炊
F6A8 翠
F6A9 聚
F6AA 脆
F6AB 臭
F6AC 趣
F6AD 醉
F6AE 驟
F6AF 鷲
F6B0 側
F6B1 仄
F6B2 厠
F6B3 惻
F6B4 測
F6B5 層
F6B6 侈
F6B7 値
F6B8 嗤
F6B9 峙
F6BA 幟
F6BB 恥
F6BC 梔
F6BD 治
F6BE 淄
F6BF 熾
F6C0 痔
F6C1 痴
F6C2 癡
F6C3 稚
F6C4 穉
F6C5 緇
F6C6 緻
F6C7 置
F6C8 致
F6C9 蚩
F6CA 輜
F6CB 雉
F6CC 馳
F6CD 齒
F6CE 則
F6CF 勅
F6D0 飭
F6D1 親
F6D2 七
F6D3 柒
F6D4 漆
F6D5 侵
F6D6 寢
F6D7 枕
F6D8 沈
F6D9 浸
F6DA 琛
F6DB 砧
F6DC 針
F6DD 鍼
F6DE 蟄
F6DF 秤
F6E0 稱
F6E1 快
F6E2 他
F6E3 咤
F6E4 唾
F6E5 墮
F6E6 妥
F6E7 惰
F6E8 打
F6E9 拖
F6EA 朶
F6EB 楕
F6EC 舵
F6ED 陀
F6EE 馱
F6EF 駝
F6F0 倬
F6F1 卓
F6F2 啄
F6F3 坼
F6F4 度
F6F5 托
F6F6 拓
F6F7 擢
F6F8 晫
F6F9 柝
F6FA 濁
F6FB 濯
F6FC 琢
F6FD 琸
F6FE 託
F7A1 鐸
F7A2 呑
F7A3 嘆
F7A4 坦
F7A5 彈
F7A6 憚
F7A7 歎
F7A8 灘
F7A9 炭
F7AA 綻
F7AB 誕
F7AC 奪
F7AD 脫
F7AE 探
F7AF 眈
F7B0 耽
F7B1 貪
F7B2 塔
F7B3 搭
F7B4 榻
F7B5 宕
F7B6 帑
F7B7 湯
F7B8 糖
F7B9 蕩
F7BA 兌
F7BB 台
F7BC 太
F7BD 怠
F7BE 態
F7BF 殆
F7C0 汰
F7C1 泰
F7C2 笞
F7C3 胎
F7C4 苔
F7C5 跆
F7C6 邰
F7C7 颱
F7C8 宅
F7C9 擇
F7CA 澤
F7CB 撑
F7CC 攄
F7CD 兎
F7CE 吐
F7CF 土
F7D0 討
F7D1 慟
F7D2 桶
F7D3 洞
F7D4 痛
F7D5 筒
F7D6 統
F7D7 通
F7D8 堆
F7D9 槌
F7DA 腿
F7DB 褪
F7DC 退
F7DD 頹
F7DE 偸
F7DF 套
F7E0 妬
F7E1 投
F7E2 透
F7E3 鬪
F7E4 慝
F7E5 特
F7E6 闖
F7E7 坡
F7E8 婆
F7E9 巴
F7EA 把
F7EB 播
F7EC 擺
F7ED 杷
F7EE 波
F7EF 派
F7F0 爬
F7F1 琶
F7F2 破
F7F3 罷
F7F4 芭
F7F5 跛
F7F6 頗
F7F7 判
F7F8 坂
F7F9 板
F7FA 版
F7FB 瓣
F7FC 販
F7FD 辦
F7FE 鈑
F8A1 阪
F8A2 八
F8A3 叭
F8A4 捌
F8A5 佩
F8A6 唄
F8A7 悖
F8A8 敗
F8A9 沛
F8AA 浿
F8AB 牌
F8AC 狽
F8AD 稗
F8AE 覇
F8AF 貝
F8B0 彭
F8B1 澎
F8B2 烹
F8B3 膨
F8B4 愎
F8B5 便
F8B6 偏
F8B7 扁
F8B8 片
F8B9 篇
F8BA 編
F8BB 翩
F8BC 遍
F8BD 鞭
F8BE 騙
F8BF 貶
F8C0 坪
F8C1 平
F8C2 枰
F8C3 萍
F8C4 評
F8C5 吠
F8C6 嬖
F8C7 幣
F8C8 廢
F8C9 弊
F8CA 斃
F8CB 肺
F8CC 蔽
F8CD 閉
F8CE 陛
F8CF 佈
F8D0 包
F8D1 匍
F8D2 匏
F8D3 咆
F8D4 哺
F8D5 圃
F8D6 布
F8D7 怖
F8D8 抛
F8D9 抱
F8DA 捕
F8DB 暴
F8DC 泡
F8DD 浦
F8DE 疱
F8DF 砲
F8E0 胞
F8E1 脯
F8E2 苞
F8E3 葡
F8E4 蒲
F8E5 袍
F8E6 褒
F8E7 逋
F8E8 鋪
F8E9 飽
F8EA 鮑
F8EB 幅
F8EC 暴
F8ED 曝
F8EE 瀑
F8EF 爆
F8F0 輻
F8F1 俵
F8F2 剽
F8F3 彪
F8F4 慓
F8F5 杓
F8F6 標
F8F7 漂
F8F8 瓢
F8F9 票
F8FA 表
F8FB 豹
F8FC 飇
F8FD 飄
F8FE 驃
F9A1 品
F9A2 稟
F9A3 楓
F9A4 諷
F9A5 豊
F9A6 風
F9A7 馮
F9A8 彼
F9A9 披
F9AA 疲
F9AB 皮
F9AC 被
F9AD 避
F9AE 陂
F9AF 匹
F9B0 弼
F9B1 必
F9B2 泌
F9B3 珌
F9B4 畢
F9B5 疋
F9B6 筆
F9B7 苾
F9B8 馝
F9B9 乏
F9BA 逼
F9BB 下
F9BC 何
F9BD 厦
F9BE 夏
F9BF 廈
F9C0 昰
F9C1 河
F9C2 瑕
F9C3 荷
F9C4 蝦
F9C5 賀
F9C6 遐
F9C7 霞
F9C8 鰕
F9C9 壑
F9CA 學
F9CB 虐
F9CC 謔
F9CD 鶴
F9CE 寒
F9CF 恨
F9D0 悍
F9D1 旱
F9D2 汗
F9D3 漢
F9D4 澣
F9D5 瀚
F9D6 罕
F9D7 翰
F9D8 閑
F9D9 閒
F9DA 限
F9DB 韓
F9DC 割
F9DD 轄
F9DE 函
F9DF 含
F9E0 咸
F9E1 啣
F9E2 喊
F9E3 檻
F9E4 涵
F9E5 緘
F9E6 艦
F9E7 銜
F9E8 陷
F9E9 鹹
F9EA 合
F9EB 哈
F9EC 盒
F9ED 蛤
F9EE 閤
F9EF 闔
F9F0 陜
F9F1 亢
F9F2 伉
F9F3 姮
F9F4 嫦
F9F5 巷
F9F6 恒
F9F7 抗
F9F8 杭
F9F9 桁
F9FA 沆
F9FB 港
F9FC 缸
F9FD 肛
F9FE 航
FAA1 行
FAA2 降
FAA3 項
FAA4 亥
FAA5 偕
FAA6 咳
FAA7 垓
FAA8 奚
FAA9 孩
FAAA 害
FAAB 懈
FAAC 楷
FAAD 海
FAAE 瀣
FAAF 蟹
FAB0 解
FAB1 該
FAB2 諧
FAB3 邂
FAB4 駭
FAB5 骸
FAB6 劾
FAB7 核
FAB8 倖
FAB9 幸
FABA 杏
FABB 荇
FABC 行
FABD 享
FABE 向
FABF 嚮
FAC0 珦
FAC1 鄕
FAC2 響
FAC3 餉
FAC4 饗
FAC5 香
FAC6 噓
FAC7 墟
FAC8 虛
FAC9 許
FACA 憲
FACB 櫶
FACC 獻
FACD 軒
FACE 歇
FACF 險
FAD0 驗
FAD1 奕
FAD2 爀
FAD3 赫
FAD4 革
FAD5 俔
FAD6 峴
FAD7 弦
FAD8 懸
FAD9 晛
FADA 泫
FADB 炫
FADC 玄
FADD 玹
FADE 現
FADF 眩
FAE0 睍
FAE1 絃
FAE2 絢
FAE3 縣
FAE4 舷
FAE5 衒
FAE6 見
FAE7 賢
FAE8 鉉
FAE9 顯
FAEA 孑
FAEB 穴
FAEC 血
FAED 頁
FAEE 嫌
FAEF 俠
FAF0 協
FAF1 夾
FAF2 峽
FAF3 挾
FAF4 浹
FAF5 狹
FAF6 脅
FAF7 脇
FAF8 莢
FAF9 鋏
FAFA 頰
FAFB 亨
FAFC 兄
FAFD 刑
FAFE 型
FBA1 形
FBA2 泂
FBA3 滎
FBA4 瀅
FBA5 灐
FBA6 炯
FBA7 熒
FBA8 珩
FBA9 瑩
FBAA 荊
FBAB 螢
FBAC 衡
FBAD 逈
FBAE 邢
FBAF 鎣
FBB0 馨
FBB1 兮
FBB2 彗
FBB3 惠
FBB4 慧
FBB5 暳
FBB6 蕙
FBB7 蹊
FBB8 醯
FBB9 鞋
FBBA 乎
FBBB 互
FBBC 呼
FBBD 壕
FBBE 壺
FBBF 好
FBC0 岵
FBC1 弧
FBC2 戶
FBC3 扈
FBC4 昊
FBC5 晧
FBC6 毫
FBC7 浩
FBC8 淏
FBC9 湖
FBCA 滸
FBCB 澔
FBCC 濠
FBCD 濩
FBCE 灝
FBCF 狐
FBD0 琥
FBD1 瑚
FBD2 瓠
FBD3 皓
FBD4 祜
FBD5 糊
FBD6 縞
FBD7 胡
FBD8 芦
FBD9 葫
FBDA 蒿
FBDB 虎
FBDC 號
FBDD 蝴
FBDE 護
FBDF 豪
FBE0 鎬
FBE1 頀
FBE2 顥
FBE3 惑
FBE4 或
FBE5 酷
FBE6 婚
FBE7 昏
FBE8 混
FBE9 渾
FBEA 琿
FBEB 魂
FBEC 忽
FBED 惚
FBEE 笏
FBEF 哄
FBF0 弘
FBF1 汞
FBF2 泓
FBF3 洪
FBF4 烘
FBF5 紅
FBF6 虹
FBF7 訌
FBF8 鴻
FBF9 化
FBFA 和
FBFB 嬅
FBFC 樺
FBFD 火
FBFE 畵
FCA1 禍
FCA2 禾
FCA3 花
FCA4 華
FCA5 話
FCA6 譁
FCA7 貨
FCA8 靴
FCA9 廓
FCAA 擴
FCAB 攫
FCAC 確
FCAD 碻
FCAE 穫
FCAF 丸
FCB0 喚
FCB1 奐
FCB2 宦
FCB3 幻
FCB4 患
FCB5 換
FCB6 歡
FCB7 晥
FCB8 桓
FCB9 渙
FCBA 煥
FCBB 環
FCBC 紈
FCBD 還
FCBE 驩
FCBF 鰥
FCC0 活
FCC1 滑
FCC2 猾
FCC3 豁
FCC4 闊
FCC5 凰
FCC6 幌
FCC7 徨
FCC8 恍
FCC9 惶
FCCA 愰
FCCB 慌
FCCC 晃
FCCD 晄
FCCE 榥
FCCF 況
FCD0 湟
FCD1 滉
FCD2 潢
FCD3 煌
FCD4 璜
FCD5 皇
FCD6 篁
FCD7 簧
FCD8 荒
FCD9 蝗
FCDA 遑
FCDB 隍
FCDC 黃
FCDD 匯
FCDE 回
FCDF 廻
FCE0 徊
FCE1 恢
FCE2 悔
FCE3 懷
FCE4 晦
FCE5 會
FCE6 檜
FCE7 淮
FCE8 澮
FCE9 灰
FCEA 獪
FCEB 繪
FCEC 膾
FCED 茴
FCEE 蛔
FCEF 誨
FCF0 賄
FCF1 劃
FCF2 獲
FCF3 宖
FCF4 橫
FCF5 鐄
FCF6 哮
FCF7 嚆
FCF8 孝
FCF9 效
FCFA 斅
FCFB 曉
FCFC 梟
FCFD 涍
FCFE 淆
FDA1 爻
FDA2 肴
FDA3 酵
FDA4 驍
FDA5 侯
FDA6 候
FDA7 厚
FDA8 后
FDA9 吼
FDAA 喉
FDAB 嗅
FDAC 帿
FDAD 後
FDAE 朽
FDAF 煦
FDB0 珝
FDB1 逅
FDB2 勛
FDB3 勳
FDB4 塤
FDB5 壎
FDB6 焄
FDB7 熏
FDB8 燻
FDB9 薰
FDBA 訓
FDBB 暈
FDBC 薨
FDBD 喧
FDBE 暄
FDBF 煊
FDC0 萱
FDC1 卉
FDC2 喙
FDC3 毁
FDC4 彙
FDC5 徽
FDC6 揮
FDC7 暉
FDC8 煇
FDC9 諱
FDCA 輝
FDCB 麾
FDCC 休
FDCD 携
FDCE 烋
FDCF 畦
FDD0 虧
FDD1 恤
FDD2 譎
FDD3 鷸
FDD4 兇
FDD5 凶
FDD6 匈
FDD7 洶
FDD8 胸
FDD9 黑
FDDA 昕
FDDB 欣
FDDC 炘
FDDD 痕
FDDE 吃
FDDF 屹
FDE0 紇
FDE1 訖
FDE2 欠
FDE3 欽
FDE4 歆
FDE5 吸
FDE6 恰
FDE7 洽
FDE8 翕
FDE9 興
FDEA 僖
FDEB 凞
FDEC 喜
FDED 噫
FDEE 囍
FDEF 姬
FDF0 嬉
FDF1 希
FDF2 憙
FDF3 憘
FDF4 戱
FDF5 晞
FDF6 曦
FDF7 熙
FDF8 熹
FDF9 熺
FDFA 犧
FDFB 禧
FDFC 稀
FDFD 羲
FDFE 詰
